customer.id;outfit.id;rentalPeriod.start;rentalPeriod.end
05238;outfit.923f3fd476b5450b9582d1f525604546;2018-05-25;2018-05-28
05099;outfit.8c8e922e228ba03f;2019-08-29;2019-09-02
06067;outfit.96f152543e7668ae;2018-08-10;2018-08-13
06117;outfit.ddba05a5ced34fa1ab3a0722c05bb11a;2018-06-14;2018-06-19
00566;outfit.5ef01d4dc15243fb854ca797716fd663;2019-08-24;2019-08-27
00446;outfit.68667a7b797740f69dce409eeeadac24;2019-12-28;2020-01-04
03438;outfit.63bcf26d934447e1aa4d53214cef7d4f;2018-02-02;2018-02-10
04836;outfit.938bce9de70bbb91;2019-01-11;2019-03-11
06113;outfit.d5a4b9683cd643f48dab6d109b0aa729;2019-05-14;2019-05-19
01014;outfit.bb0b2a2f58aa9f0b;2019-06-07;2019-06-09
01204;outfit.8d6a34817ba54992a71abef91d5486e8;2019-04-03;2019-04-05
06395;outfit.bab0a104dce39d2b;2019-02-16;2019-02-19
03255;outfit.976628d5f0b34376a2c32d4e8c46e24b;2020-01-27;2020-01-31
04924;outfit.c6986820610c4ebe9502745daaf2a864;2019-04-24;2019-04-29
06150;outfit.8e974a4d61380fb2;2017-11-24;2017-11-30
01248;outfit.849ace7e1811150d;2019-09-13;2019-09-16
06233;outfit.c9b14d84b59b42c2b6cb3b560e1c1ef8;2018-08-10;2018-08-13
07383;outfit.7406df88036f4f16bfc1a4c03002d315;2019-03-18;2019-03-21
01854;outfit.aad989fc0422b4eb;2019-08-30;2019-09-02
05459;outfit.b43f37d3542f42628d7fc43403f8dd49;2018-08-09;2018-08-13
02570;outfit.163433b4f8ed460bbd12eb913c4e9992;2019-12-04;2019-12-09
03297;outfit.db13e9deae904483bed85c8358f81a8e;2018-08-03;2018-08-06
01739;outfit.7e53d60cec3c4d8bafc4b05ee815c0f5;2018-08-24;2018-08-27
03300;outfit.6d9f73680ceb4d59974c85e0c104af00;2018-05-08;2018-05-28
03160;outfit.86a8f7b22a1f4b4e9d6f42d22ea0127b;2018-02-24;2018-03-13
04282;outfit.b68b720dbd521460;2020-01-23;2020-01-25
06308;outfit.7ee7542297f944ecb49f4fe5b44728f7;2019-11-29;2019-12-02
04704;outfit.8dd954d73c8d44ce;2018-02-10;2018-02-19
04141;outfit.ad848f726cd93e66;2018-03-02;2018-03-05
01721;outfit.60100019807c48a892195be2a047c618;2019-06-28;2019-07-12
02101;outfit.8e763e5d22200bfa;2018-01-19;2018-01-22
03630;outfit.8e2b0bea80a6f0c2;2019-08-16;2019-08-19
00083;outfit.a657836d8fac6ede;2018-06-25;2018-07-02
01063;outfit.1309e941cace40c39f24d8de277140b1;2019-10-21;2019-10-23
06011;outfit.1515a54502e34532a658bb12f419c557;2018-07-27;2018-07-30
07077;outfit.bb35c791b2bfa191;2019-05-31;2019-06-03
07361;outfit.b6f4e6d64e3144d2b528b6bf75e5ddcd;2019-08-29;2019-09-02
02384;outfit.8fbf386b8fef8664;2019-08-23;2019-08-26
04040;outfit.5ae76cc39b2b4049bafb00a9203254ae;2018-10-25;2018-10-29
03438;outfit.98d6cf4fef49ec24;2017-12-04;2017-12-06
06047;outfit.87752ffbbe69477baaf2a2382738acb8;2019-11-13;2019-11-18
00518;outfit.ad6f853b5c31b6f5;2018-06-19;2018-06-25
06001;outfit.1fc4f4eb86854b52b71096e05d0efa6a;2019-06-20;2019-07-21
02842;outfit.d74a648486b04780b38eb60860b4b974;2018-09-04;2018-09-10
03611;outfit.2055788ae1cb401bb3e88f887d5bd028;2019-08-02;2019-08-05
00775;outfit.437a0496b4ea4192b3bde3bee012d6c7;2019-11-06;2019-11-07
05524;outfit.b9aeae0adbc6f62a;2018-01-23;2018-02-23
04636;outfit.57729471dc4a42fc8ebf94a2741b54ac;2018-08-10;2018-08-13
06315;outfit.c5253e4ebb054b14b20d3cc19f00b595;2019-07-18;2019-07-22
03739;outfit.a4699b3b33b4d99c;2018-05-18;2018-06-30
00380;outfit.a7073410dc0bd5e7;2017-12-15;2018-01-15
04921;outfit.23bf2c58e916407987746990096b204e;2019-03-22;2019-03-25
00617;outfit.b28a4882faf73d65;2019-03-02;2019-03-03
07219;outfit.e3c17b42a98943bb878e77b93485e940;2019-01-29;2019-02-02
01544;outfit.ab7c331ffe4c0c2f;2019-02-25;2019-03-03
01871;outfit.82156329d7b54a80bdfc008fe96461ec;2018-09-21;2018-09-24
03700;outfit.915272dd8393bc1d;2018-05-07;2018-06-04
06909;outfit.b831eeb87001146e;2018-12-31;2019-01-02
03974;outfit.17996f09f2a84c078a7b0bd718bcddd6;2018-09-07;2018-09-10
04258;outfit.9bb1d6f57be44f24;2019-12-27;2019-12-30
04399;outfit.be670e741ed74f9597a28f8bb3e5e537;2019-11-28;2019-12-01
07005;outfit.b4d1a29f30484471;2017-12-31;2018-01-03
05538;outfit.545e026417ac42da8cb78e8f1ddce007;2019-11-20;2019-11-25
05974;outfit.0fd1ffa75a364aba8427034859879e25;2017-12-15;2017-12-31
06155;outfit.9bb1d6f57be44f24;2017-12-15;2017-12-18
03476;outfit.9d310a2a76ea075a;2018-08-06;2018-08-16
07177;outfit.129d52ba514a406c959c2ca3b67f696e;2018-02-23;2018-02-26
03167;outfit.98e0bb4a735b1bf8;2020-02-12;2020-02-15
00001;outfit.26a9eb230d0b4820a0fcc230f0fe8cf2;2018-08-31;2018-09-03
03535;outfit.9fde090f117fb9d9;2018-08-03;2018-08-06
02986;outfit.ff47495b688446ba97ee3781758957b7;2018-09-19;2018-09-24
00220;outfit.be4fe65c50663cf3;2019-11-21;2019-11-23
03914;outfit.9038623c473340038e17175e97642e27;2018-12-04;2018-12-07
06547;outfit.807c233bd352468e;2017-12-16;2018-01-05
06459;outfit.a1b5b9335a89a082;2018-10-18;2018-10-22
00501;outfit.5a20adaebc8846aba11d54264ce6d701;2019-07-04;2019-07-14
06292;outfit.8dd600ca3673694c;2018-08-08;2018-08-14
04637;outfit.6f26dc78e6214ff3ba2ab4a2b6c18d61;2020-01-17;2020-01-20
01278;outfit.c32d9949124f42acb2fe20cf6915e5d7;2018-08-17;2018-08-20
03828;outfit.da3425130a35462997ed114b35d1f355;2020-03-26;2020-03-30
01912;outfit.d3fc8f7773fa40e29f0f9fc22beea4d5;2019-07-19;2019-07-21
02440;outfit.96a898b3fea75da0;2018-02-08;2018-02-10
00536;outfit.be5b658f6bcc253b;2019-05-03;2019-05-06
07208;outfit.69510e71049843628dabe5ef896f1b04;2018-08-09;2018-08-13
03383;outfit.b401ac00dd8e441c8e698a5eaad7a645;2019-08-08;2019-08-11
04336;outfit.c663f1c85a344f039eacb889398b6b91;2019-05-18;2019-05-27
