date_added;id;name;brand;owner;condition;condition_desctription;retail_price;tc_price;sold
;outfit.00731d8db5504c64af534f9f43a7f061;L Heaston Skirt Hushed Violet;Samsøe Samsøe;FJONG;5 - Damaged;Flekker som ikke går bort. ;800;50.0;True
2022-06-10;outfit.00fa8d1fd5804fe78ac284c2e0c28b4e;L Navy Buffalo Skirt;Holzweiler;FJONG;5 - Damaged;Small black dots on shoulders and back (see image);4700;1175.0;False
2023-10-31;outfit.0106cbd7e23f41da92e3081146b4ad03;Juliette Skirt Red Line;Samsøe & Samsøe;FJONG;5 - Damaged;Store flekker i front;2900;580.0;False
2022-08-18;outfit.0113e4422a3f408f8fc9a94d2861474f;Sand Poddle99 Blazer;Holzweiler;Holzweiler;5 - Damaged;Lite Hull både foran og bak. Kan sys? eventuelt patche;2400;300.0;False
2023-01-10;outfit.0118b605888840348f80965c2d8865cf;XS Wabi Embroidered Bright White Shirt;FWSS;FWSS;5 - Damaged;;;;False
;outfit.0135e308c548441da2f132684fda6ec0;S1 Pleated Arm Top Aspen Gold;MAUD;Høyer;1 - As new;tror det bare er fordi den er en singlet;500;250.0;False
2023-05-15;outfit.01738c87529546bfb8c032dc16027359;S Shoulder Embellished Tunic;SoyaAulait;Soyaaulait;5 - Damaged;;1700;340.0;False
2023-01-10;outfit.02007510be7b409890e2b0662fcd198a;The Wrap Dress, Black;AWAN;AWAN;4 - Minor defects;flekker som ikke går bort;10500;3150.0;False
2023-05-15;outfit.023f07d439ba4be7895260a95cde5ad4;S White Ribbed Sweater;Urban Pioneers;Urban Pioneers;5 - Damaged;;1800;310.0;True
;outfit.028f434e3010464ebe6faba11f8218f9;L Cocos Seaweed Skirt;Samsøe Samsøe;FJONG;5 - Damaged;;2000;349.0;False
;outfit.02b7dbe5f5f94207ba29423997168b74;M Sanne Misty Lilac Dress;FWSS;FJONG;4 - Minor defects;;7000;1400.0;False
